"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$5.139","$5.446","$5.744","$6.010",2026-06-01
"Las_Vegas","$5.373","$5.576","$5.805","$6.222",2026-06-01
"Reno","$5.152","$5.509","$5.825","$6.037",2026-06-01
