"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$3.703","$3.978","$4.258","$3.876",2026-03-02
"Las_Vegas","$4.123","$4.291","$4.484","$4.095",2026-03-02
"Reno","$3.707","$4.026","$4.314","$3.872",2026-03-02
