"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$5.162","$5.485","$5.763","$6.153",2026-05-02
"Las_Vegas","$5.407","$5.624","$5.836","$6.415",2026-05-02
"Reno","$5.208","$5.562","$5.870","$6.194",2026-05-02
